"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 17:10:51 GMT 2024","Fri Apr 19 17:10:51 GMT 2024","688","Saucedemo","MyTests","tests.InventoryTest","tests.InventoryTest","testLogoutLink","testLogoutLink",""
"passed","Fri Apr 19 17:10:13 GMT 2024","Fri Apr 19 17:10:29 GMT 2024","15665","Saucedemo","MyTests","tests.BackpackTest","tests.BackpackTest","testRemoveFromCert","testRemoveFromCert",""
"passed","Fri Apr 19 17:10:58 GMT 2024","Fri Apr 19 17:10:58 GMT 2024","534","Saucedemo","MyTests","tests.InventoryTest","tests.InventoryTest","testPricesSortingLowToHigh","testPricesSortingLowToHigh",""
"passed","Fri Apr 19 17:10:44 GMT 2024","Fri Apr 19 17:10:44 GMT 2024","467","Saucedemo","MyTests","tests.InventoryTest","tests.InventoryTest","testBurgerMenuIsClosed","testBurgerMenuIsClosed",""
"passed","Fri Apr 19 17:10:54 GMT 2024","Fri Apr 19 17:10:55 GMT 2024","662","Saucedemo","MyTests","tests.InventoryTest","tests.InventoryTest","testPricesSortedHighToLow","testPricesSortedHighToLow",""
"unknown","Fri Apr 19 17:09:58 GMT 2024","Fri Apr 19 17:09:58 GMT 2024","1","Saucedemo","MyTests","tests.InventoryTest","tests.InventoryTest","testBurgerMenuHasAllLinks","testBurgerMenuHasAllLinks",""
"failed","Fri Apr 19 13:44:37 GMT 2024","Fri Apr 19 13:44:37 GMT 2024","25","Default Suite","Saucedemo","tests.InventoryTest","tests.InventoryTest","testWithFailure","testWithFailure",""
"passed","Fri Apr 19 17:11:19 GMT 2024","Fri Apr 19 17:11:20 GMT 2024","1260","Saucedemo","MyTests","tests.SaucedemoLoginTest","tests.SaucedemoLoginTest","testInvalidUsernameLogin","testInvalidUsernameLogin",""
"passed","Fri Apr 19 17:10:06 GMT 2024","Fri Apr 19 17:10:07 GMT 2024","233","Saucedemo","MyTests","tests.BackpackTest","tests.BackpackTest","testItemName","testItemName",""
"passed","Fri Apr 19 17:10:03 GMT 2024","Fri Apr 19 17:10:03 GMT 2024","455","Saucedemo","MyTests","tests.BackpackTest","tests.BackpackTest","testAddToCart","testAddToCart",""
"passed","Fri Apr 19 17:11:26 GMT 2024","Fri Apr 19 17:11:27 GMT 2024","1019","Saucedemo","MyTests","tests.SaucedemoLoginTest","tests.SaucedemoLoginTest","testStandardUserLogin","testStandardUserLogin",""
"passed","Fri Apr 19 17:11:16 GMT 2024","Fri Apr 19 17:11:17 GMT 2024","1250","Saucedemo","MyTests","tests.SaucedemoLoginTest","tests.SaucedemoLoginTest","testInvalidPassword","testInvalidPassword",""
"passed","Fri Apr 19 17:10:10 GMT 2024","Fri Apr 19 17:10:10 GMT 2024","238","Saucedemo","MyTests","tests.BackpackTest","tests.BackpackTest","testItemPrice","testItemPrice",""
"passed","Fri Apr 19 17:11:22 GMT 2024","Fri Apr 19 17:11:23 GMT 2024","605","Saucedemo","MyTests","tests.SaucedemoLoginTest","tests.SaucedemoLoginTest","testLogoOnLoginPage","testLogoOnLoginPage",""
"passed","Fri Apr 19 17:11:12 GMT 2024","Fri Apr 19 17:11:13 GMT 2024","1089","Saucedemo","MyTests","tests.SaucedemoLoginTest","tests.SaucedemoLoginTest","testEmptyUsername","testEmptyUsername",""
"passed","Fri Apr 19 17:11:01 GMT 2024","Fri Apr 19 17:11:02 GMT 2024","1010","Saucedemo","MyTests","tests.InventoryTest","tests.InventoryTest","testSortingAtoZ","testSortingAtoZ",""
"passed","Fri Apr 19 17:10:36 GMT 2024","Fri Apr 19 17:10:40 GMT 2024","4581","Saucedemo","MyTests","tests.InventoryTest","tests.InventoryTest","testAboutLink","testAboutLink",""
"passed","Fri Apr 19 17:11:05 GMT 2024","Fri Apr 19 17:11:06 GMT 2024","537","Saucedemo","MyTests","tests.InventoryTest","tests.InventoryTest","testSortingZtoA","testSortingZtoA",""
"passed","Fri Apr 19 17:11:08 GMT 2024","Fri Apr 19 17:11:09 GMT 2024","825","Saucedemo","MyTests","tests.SaucedemoLoginTest","tests.SaucedemoLoginTest","testEmptyPassword","testEmptyPassword",""
"passed","Fri Apr 19 17:10:47 GMT 2024","Fri Apr 19 17:10:47 GMT 2024","226","Saucedemo","MyTests","tests.InventoryTest","tests.InventoryTest","testBurgerMenuIsOpen","testBurgerMenuIsOpen",""
"passed","Fri Apr 19 17:10:32 GMT 2024","Fri Apr 19 17:10:32 GMT 2024","480","Saucedemo","MyTests","tests.BackpackTest","tests.BackpackTest","testReturnBack","testReturnBack",""
